Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value,Weights
85,30.159973,9.279755,0.9795032540957133,0.014911749992906755,dataset_snu_cell_05_n,48.452682,dataset_snu_cell_05_n,0.9485536813735962,[ 0.5085352   0.10456991 -0.03895717  0.39208907]
86,25.300306,13.296844,0.983202745517095,0.02103262442185453,dataset_snu_cell_05_n,53.71532,dataset_snu_cell_05_n,0.9367712140083313,[ 0.4756157  -0.03604369  0.17241043  0.41335255]
87,25.27168,7.589334,0.9861995180447897,0.010499649604305382,dataset_snu_cell_07_f,40.172085,dataset_snu_cell_07_f,0.9635602235794067,[ 0.58920777 -0.09221525  0.13361108  0.39824358]
88,29.821203,18.233349,0.9725822905699412,0.04095675958313587,dataset_snu_cell_15_n,69.39325,dataset_snu_cell_15_n,0.8813942670822144,[ 0.5774679   0.17235579 -0.05416336  0.33095744]
89,28.758032,15.160496,0.9763464430967966,0.026085158706097115,dataset_snu_cell_15_n,54.719566,dataset_snu_cell_15_n,0.9262509346008301,[ 0.56567657  0.13333346 -0.08626427  0.3752532 ]
90,24.217102,6.0439405,0.9873787264029185,0.007546754489391051,dataset_snu_cell_07_f,35.528587,dataset_snu_cell_07_f,0.9714974761009216,[ 0.6734054  -0.09474754  0.02455039  0.3915654 ]
91,18.026121,1.6719024,0.9940328299999237,0.0013943848221686218,dataset_snu_cell_06_n,20.146795,dataset_snu_cell_06_n,0.9918695688247681,[ 0.6733007   0.02829419 -0.06292938  0.36060053]
92,33.00343,8.491821,0.9767520229021708,0.014209390870192556,dataset_snu_cell_05_n,49.238605,dataset_snu_cell_05_n,0.9468711614608765,[0. 1. 0. 0.]
93,29.433084,14.094633,0.9779859483242035,0.021255902468781188,dataset_snu_cell_15_n,49.935577,dataset_snu_cell_15_n,0.9385825991630554,[1. 0. 0. 0.]
94,27.087442,8.649475,0.9835328161716461,0.011648588598075924,dataset_snu_cell_05_n,38.964367,dataset_snu_cell_05_n,0.9667299389839172,[0.5062131  0.00721792 0.02193015 0.4366819 ]
95,31.515787,6.728687,0.9789116481939951,0.011179357112223454,dataset_snu_cell_15_n,42.180855,dataset_snu_cell_15_n,0.9561769962310791,[ 0.4956706  -0.12721199  0.12612264  0.4677498 ]
96,38.751522,18.716131,0.9595372279485067,0.03564788722154891,dataset_snu_cell_05_f,63.74359,dataset_snu_cell_05_f,0.908502459526062,[ 0.48979464  0.02756137 -0.02883523  0.48663953]
97,28.830889,14.20708,0.9793002804120382,0.021546806086360955,dataset_snu_cell_05_n,54.738667,dataset_snu_cell_05_n,0.9343390464782715,[ 0.61885685 -0.00062251 -0.03589764  0.4376409 ]
98,26.388968,11.418519,0.9833974639574686,0.01786121522007357,dataset_snu_cell_05_f,49.779575,dataset_snu_cell_05_f,0.9441994428634644,[ 0.54906845 -0.07055365  0.08167375  0.43160045]
99,31.584131,13.578496,0.9747385183970133,0.023416180960245947,dataset_snu_cell_05_n,57.5372,dataset_snu_cell_05_n,0.9274535775184631,[1. 0. 0. 0.]
